X,Y,incident_id,agency,incident_address,zip_code,priority,callcode,calldescription,category,call_timestamp,precinct_sca,respondingunit,officerinitiated,intaketime,dispatchtime,traveltime,totalresponsetime,time_on_scene,totaltime,neighborhood,block_id,council_district,longitude,latitude,oid
-82.944098737,42.4149737330001,201626400176,DPD ,King Richard St & Kensington Ave,48224,3,353030,BURGLARY OTHER,HI3     ,2016/09/20 11:44:48+00,0907,,No,0.9,,,,,,Yorkshire Woods,261635010002012.0,4.0,-82.9440987365243,42.414973733479,53
-83.190473755,42.390938863,201626400180,DPD ,Lauder St & Intervale St,48227,3,353030,BURGLARY OTHER,HI3     ,2016/09/20 11:45:45+00,22B ,,No,2.0,798.7,13.1,814.9,23.2,838.0,Hubbell-Lyndon,261635378001000.0,1.0,-83.1904737553786,42.3909388631749,54
-83.264078146,42.439572637,201626400181,DPD ,Alderton St & Trojan St,48219,4,372040,UDAA REPORT,UDAAREPT,2016/09/20 11:46:02+00,0801,,No,4.8,,,,,,Berg-Lahser,261635415004013.0,1.0,-83.2640781462068,42.4395726368439,55
-82.9190347159999,42.4057575570001,201626400182,DPD ,Marseilles St & Munich St,48224,2,347020,ASSAULT AND BATTERY,AB IP/JH,2016/09/20 11:46:50+00,57B ,,No,1.9,76.3,,,,112.4,Cornerstone Village,261635017002018.0,4.0,-82.919034716121,42.4057575574666,56
-83.066461682,42.409620417,201626400188,DPD ,Meade St & Joseph Campau St,48212,2,842020,ONE DOWN OR OVER THE WHEEL,OD      ,2016/09/20 11:46:40+00,1110,,No,2.5,46.1,13.3,62.7,15.1,77.7,Campau/Banglatown,261635105003021.0,3.0,-83.0664616822615,42.4096204171952,57
-83.123003922,42.4150690810001,201626400193,DPD ,Grove St & Inverness St,48221,1,811010,AUTO X OR PED X - INJURIES,ACCINJ  ,2016/09/20 11:52:51+00,1212,,No,0.0,2.4,0.0,15.1,41.9,57.0,Martin Park,261635301003010.0,2.0,-83.1230039220162,42.4150690805633,58
-82.929307496,42.4144163490001,201626400196,DPD ,Neff Ave & Linville St,48224,3,818030,AID MOTORIST / CHILD LOCKED IN,AIDMOTR ,2016/09/20 11:53:28+00,0505,,No,1.5,,,,,,Cornerstone Village,261635015005001.0,4.0,-82.9293074955474,42.4144163491643,59
-83.0745844579999,42.3574400270001,201626400199,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:53:07+00,36B ,,No,0.0,0.0,,,,0.5,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,60
-83.0745844579999,42.3574400270001,201626400203,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:53:46+00,36B ,,No,0.0,0.0,,,,0.5,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,61
-83.0745844579999,42.3574400270001,201626400204,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:54:30+00,36B ,,No,0.0,0.0,,,,0.2,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,62
-83.0745844579999,42.3574400270001,201626400206,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:54:52+00,36B ,,No,0.0,0.0,,,,0.2,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,63
-83.0745844579999,42.3574400270001,201626400210,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:55:13+00,36B ,,No,0.0,0.0,,,,0.2,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,64
-83.0745844579999,42.3574400270001,201626400213,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:56:01+00,36B ,,No,0.0,0.0,,,,0.7,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,65
-83.1216856779999,42.4126803090001,201626400217,DPD ,Florence St & Log Cabin St,48221,2,347020,ASSAULT AND BATTERY,AB IP/JH,2016/09/20 11:57:17+00,1212,,No,0.0,86.7,9.0,95.7,19.1,114.8,Martin Park,261635301004005.0,2.0,-83.1216856782108,42.4126803094964,66
-83.0745844579999,42.3574400270001,201626400218,DPD ,Kirby St & N M 10 Service Drive,48201,3,814035,PARKING COMPLAINT,PARK    ,2016/09/20 11:59:30+00,36B ,,No,0.0,0.0,0.1,1.2,0.1,1.3,Wayne State,261635202002016.0,6.0,-83.0745844581655,42.3574400267874,67
-83.079951207,42.3517083680001,201626400221,DPD ,W Warren Ave & Commonwealth St,48208,3,W4891 ,SPECIAL ATTENTION / DETAIL,SPECATTN,2016/09/20 12:01:41+00,38B ,WS6880,Yes,0.0,0.0,0.0,0.0,19.0,19.0,Woodbridge,261635219003022.0,6.0,-83.0799512074685,42.3517083680668,68
-83.000489569,42.369244365,201626400223,DPD ,Burns St & Mack Ave,48214,2,313010,DEAD PERSON OBSERVED,OOBVDEAD,2016/09/20 12:02:34+00,78A ,,No,0.0,26.7,9.0,36.4,141.8,178.2,Pingree Park,261635160001015.0,5.0,-83.0004895694123,42.3692443650585,69
